2022-10-26  14:22:00 - fundSpider.py[line:420] - INFO: 	华夏帮你选新科技日收益信息入库成功

2022-10-26  14:22:00 - fundSpider.py[line:264] - INFO: 	平衡宝基本信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:314] - INFO: 	平衡宝区间收益信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:345] - INFO: 	平衡宝持仓分布信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:378] - INFO: 	平衡宝调仓历史信息爬取成功
2022-10-26  14:22:00 - fundSpider.py[line:400] - INFO: 	平衡宝备选基金信息入库成功
2022-10-26  14:22:00 - fundSpider.py[line:420] - INFO: 	平衡宝日收益信息入库成功

2022-10-26  14:22:01 - fundSpider.py[line:264] - INFO: 	全球精选基本信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:314] - INFO: 	全球精选区间收益信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:345] - INFO: 	全球精选持仓分布信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:378] - INFO: 	全球精选调仓历史信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:400] - INFO: 	全球精选备选基金信息入库成功
2022-10-26  14:22:01 - fundSpider.py[line:420] - INFO: 	全球精选日收益信息入库成功

2022-10-26  14:22:01 - fundSpider.py[line:264] - INFO: 	华夏常青藤教育金组合基本信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:314] - INFO: 	华夏常青藤教育金组合区间收益信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:345] - INFO: 	华夏常青藤教育金组合持仓分布信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:378] - INFO: 	华夏常青藤教育金组合调仓历史信息爬取成功
2022-10-26  14:22:01 - fundSpider.py[line:400] - INFO: 	华夏常青藤教育金组合备选基金信息入库成功
2022-10-26  14:22:01 - fundSpider.py[line:420] - INFO: 	华夏常青藤教育金组合日收益信息入库成功

2022-10-26  14:22:02 - fundSpider.py[line:264] - INFO: 	工资宝绝对收益组合基本信息爬取成功
2022-10-26  14:22:02 - fundSpider.py[line:314] - INFO: 	工资宝绝对收益组合区间收益信息爬取成功
2022-10-26  14:22:02 - fundSpider.py[line:345] - INFO: 	工资宝绝对收益组合持仓分布信息爬取成功
2022-10-26  14:22:02 - fundSpider.py[line:378] - INFO: 	工资宝绝对收益组合调仓历史信息爬取成功
2022-10-26  14:22:02 - fundSpider.py[line:400] - INFO: 	工资宝绝对收益组合备选基金信息入库成功
2022-10-26  14:22:02 - fundSpider.py[line:420] - INFO: 	工资宝绝对收益组合日收益信息入库成功

2022-10-26  14:22:03 - fundSpider.py[line:264] - INFO: 	华夏60后智享财富组合基本信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:314] - INFO: 	华夏60后智享财富组合区间收益信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:345] - INFO: 	华夏60后智享财富组合持仓分布信息爬取成功
2022-10-26  14:22:03 - fundSpider.py[line:378] - INFO: 	华夏60后智享财富组合调仓历史信息爬取成功
